app_id,application_date,applicant_age,annual_income,employment_length_raw,home_ownership,verification_status,loan_amount,term_months,interest_rate,purpose,grade,sub_grade,fico_score_proxy,open_credit_lines,total_credit_lines,revolving_balance,revolving_utilization_raw,delinq_2yrs,months_since_last_delinq,inquiries_last_6mo,public_records,monthly_debt_payments,loan_status,emp_length_years,revol_util_clean,monthly_income,dti_engineering,dti_engineered,bureau_num_accounts,bureau_active_accounts,bureau_total_credit_limit,bureau_total_current_balance,bureau_max_months_past_due,bureau_avg_account_age,target
APP200001,06/07/2023,44,43900.0,9 years,MORTGAGE,Verified,1500.0,36,12.77,debt_consolidation,C,C1,623.0,10,14.0,3724.55,29.5%,1,,0,0,537.65,Fully Paid,9.0,29.5,3658.3333333333335,0.14696583139490682,0.14696583139490682,2.0,2.0,17644.46,11496.759999999998,0.0,96.5,0
APP200002,07/01/2024,21,43500.0,10+ years,RENT,Not Verified,7300.0,36,16.35,debt_consolidation,D,D2,635.0,10,20.0,816.7,107.8,0,,0,0,710.59,Charged Off,10.0,107.8,3625.0,0.1960248275321311,0.1960248275321311,4.0,4.0,29570.88,19622.16,1.0,53.5,1
APP200003,2024-01-11,27,42700.0,9 years,RENT,Source Verified,4700.0,36,17.6,debt_consolidation,E,E1,609.0,7,10.0,4578.9,46.0,1,,1,1,311.84,Fully Paid,9.0,46.0,3558.3333333333335,0.0876365339332169,0.0876365339332169,2.0,2.0,30634.05,8021.89,0.0,73.0,0
APP200004,06/01/2024,21,62800.0,4 years,RENT,Source Verified,12300.0,36,12.11,debt_consolidation,B,B5,732.0,14,17.0,13964.94,65.7,1,,0,0,599.77,Fully Paid,4.0,65.7,5233.333333333333,0.11460573246217724,0.11460573246217724,6.0,4.0,60215.409999999996,36871.96,0.0,47.833333333333336,0
APP200005,2021-06-17,41,78400.0,< 1 year,OWN,Not Verified,4600.0,36,8.74,credit_card,A,A2,648.0,9,15.0,13360.87,102.2%,0,16.0,1,0,685.96,Fully Paid,0.5,102.2,6533.333333333333,0.10499387753494992,0.10499387753494992,4.0,4.0,15300.500000000002,8567.29,0.0,110.5,0
APP200006,08/23/2021,40,70400.0,10+ years,MORTGAGE,Source Verified,17900.0,60,12.2,other,B,B3,676.0,7,9.0,8761.04,35.7%,1,,1,0,1401.32,Charged Off,10.0,35.7,5866.666666666667,0.2388613635956486,0.2388613635956486,6.0,4.0,56183.58,25196.4,0.0,100.66666666666667,1
APP200008,2023-07-25,46,136400.0,1 year,RENT,Source Verified,11900.0,36,12.8,vacation,C,C5,738.0,4,10.0,10458.72,93.0,0,,2,0,1951.46,Fully Paid,1.0,93.0,11366.666666666666,0.17168269793211002,0.17168269793211002,5.0,3.0,26131.99,14111.2,1.0,132.0,0
APP200009,03/04/2022,26,66300.0,1 year,RENT,Verified,2000.0,36,20.97,credit_card,E,E1,569.0,7,14.0,18061.19,65.7,0,1.0,0,0,971.4,Charged Off,1.0,65.7,5525.0,0.17581900449306442,0.17581900449306442,6.0,4.0,48933.060000000005,22375.47,0.0,123.83333333333333,1
APP200010,03/12/2024,52,16300.0,1 year,MORTGAGE,Source Verified,12400.0,60,20.67,car,E,E5,697.0,10,15.0,1970.98,85.7,2,70.0,1,0,0.0,Fully Paid,1.0,85.7,1358.3333333333333,0.0,0.0,3.0,1.0,11862.57,6624.650000000001,6.0,45.0,0
APP200011,05/13/2024,39,33400.0,5 years,RENT,Source Verified,26500.0,60,12.18,medical,B,B2,705.0,11,15.0,5379.8,18.2,1,,1,0,0.0,Fully Paid,5.0,18.2,2783.3333333333335,0.0,0.0,4.0,3.0,23662.26,11169.77,0.0,98.25,0
APP200012,2022-11-21,42,,5 years,MORTGAGE,Not Verified,20100.0,36,13.31,moving,C,C3,674.0,6,10.0,5711.72,,0,,3,0,1239.79,Fully Paid,5.0,,,,,1.0,1.0,16762.08,8089.62,0.0,97.0,0
APP200013,2024-05-19,43,31000.0,6 years,MORTGAGE,Not Verified,18300.0,36,16.61,debt_consolidation,C,C3,678.0,6,11.0,5434.72,17.0,2,67.0,1,0,459.71,Fully Paid,6.0,17.0,2583.3333333333335,0.17795225799563139,0.17795225799563139,3.0,3.0,26343.13,11919.07,1.0,98.33333333333333,0
APP200014,2021-03-07,36,49900.0,1 year,MORTGAGE,Not Verified,12900.0,60,5.3,debt_consolidation,A,A1,675.0,9,12.0,2144.12,73.8,0,,0,0,1536.11,Fully Paid,1.0,73.8,4158.333333333333,0.36940521033200674,0.36940521033200674,2.0,1.0,17690.02,2521.93,0.0,168.5,0
APP200015,2024-06-21,23,47000.0,10+ years,MORTGAGE,Verified,21000.0,60,16.41,home_improvement,C,C4,741.0,7,10.0,424.47,,2,4.0,1,0,1304.56,Fully Paid,10.0,,3916.6666666666665,0.3330791488511287,0.3330791488511287,2.0,1.0,9000.800000000001,2501.19,5.0,62.0,0
APP200019,02/25/2022,39,121000.0,,MORTGAGE,Not Verified,15300.0,60,10.89,credit_card,B,B1,641.0,9,12.0,5962.4,44.5%,0,,0,0,1642.7,Fully Paid,,44.5,10083.333333333334,0.16291239667805826,0.16291239667805826,2.0,1.0,25934.079999999998,15946.460000000001,0.0,43.0,0
APP200022,2021-01-24,40,41700.0,2 years,RENT,Verified,30400.0,36,6.9,medical,A,A5,739.0,12,15.0,7361.02,37.7,0,,0,0,1033.16,Fully Paid,2.0,37.7,3475.0,0.2973122301302699,0.2973122301302699,4.0,1.0,31362.63,16534.39,0.0,129.0,0
APP200023,2022-11-02,35,50700.0,8 years,OWN,Verified,15700.0,36,10.74,home_improvement,B,B3,619.0,16,24.0,4504.97,63.5%,0,,0,0,614.98,Fully Paid,8.0,63.5,4225.0,0.14555739641525267,0.14555739641525267,4.0,2.0,19344.519999999997,3645.8999999999996,0.0,59.5,0
APP200024,05/30/2024,21,69200.0,8 years,RENT,Source Verified,2600.0,36,10.8,credit_card,B,B3,702.0,8,15.0,42585.31,0.473,0,,1,0,859.98,Fully Paid,8.0,0.473,5766.666666666667,0.1491294797429255,0.1491294797429255,2.0,1.0,23517.9,15571.68,1.0,121.0,0
APP200025,2021-06-16,41,34200.0,9 years,MORTGAGE,Not Verified,13100.0,36,6.54,credit_card,A,A2,674.0,6,8.0,12289.66,,0,,0,0,641.23,Fully Paid,9.0,,2850.0,0.22499298237719545,0.22499298237719545,3.0,3.0,20211.38,7458.0,4.0,109.0,0
APP200026,2022-12-26,40,52500.0,3 years,OWN,Source Verified,25500.0,36,18.91,credit_card,D,D5,643.0,5,9.0,9332.79,16.9,1,41.0,0,0,1240.59,Fully Paid,3.0,16.9,4375.0,0.28356342850661403,0.28356342850661403,7.0,6.0,30693.62,12247.03,6.0,88.85714285714286,0
