app_id,application_date,applicant_age,annual_income,employment_length_raw,home_ownership,verification_status,loan_amount,term_months,interest_rate,purpose,grade,sub_grade,fico_score_proxy,open_credit_lines,total_credit_lines,revolving_balance,revolving_utilization_raw,delinq_2yrs,months_since_last_delinq,inquiries_last_6mo,public_records,monthly_debt_payments,loan_status
APP200000,2021-12-10,42,33900.0,1 year,OWN,Not Verified,8200.0,36,24.03,debt_consolidation,F,F4,665.0,14,16.0,6167.88,33.8%,0,,1,0,685.45,Current
APP200001,06/07/2023,44,43900.0,9 years, MORTGAGE,Verified,1500.0,36,12.77,debt_consolidation,C,C1,623.0,10,14.0,3724.55,29.5%,1,,0,0,537.65,Fully Paid
APP200002,07/01/2024,21,43500.0,10+ years,rent,Not Verified,7300.0,36,16.35,debt_consolidation,D,D2,635.0,10,20.0,816.7,107.8,0,,0,0,710.59,Charged Off
APP200003,2024-01-11,27,42700.0,9 years,Rent,Source Verified,4700.0,36,17.6,debt_consolidation,E,E1,609.0,7,10.0,4578.9,46.0,1,,1,1,311.84,Fully Paid
APP200004,06/01/2024,21,62800.0,4 years,RENT,Source Verified,12300.0,36,12.11,debt_consolidation,B,B5,732.0,14,17.0,13964.94,65.7,1,,0,0,599.77,Fully Paid
APP200005,2021-06-17,41,78400.0,< 1 year,OWN,Not Verified,4600.0,36,8.74,credit_card,A,A2,648.0,9,15.0,13360.87,102.2%,0,16.0,1,0,685.96,Fully Paid
APP200006,08/23/2021,40,70400.0,10+ years,Mortgage,Source Verified,17900.0,60,12.2,other,B,B3,676.0,7,9.0,8761.04,35.7%,1,,1,0,1401.32,Charged Off
APP200007,2024-11-21,52,48400.0,n/a,OWN,Not Verified,5600.0,60,18.67,credit_card,D,D3,631.0,10,15.0,21332.61,29.3%,0,62.0,0,0,1166.35,Current
APP200008,2023-07-25,46,136400.0,1 year,RENT,Source Verified,11900.0,36,12.8,vacation,C,C5,738.0,4,10.0,10458.72,93.0,0,,2,0,1951.46,Fully Paid
APP200009,03/04/2022,26,66300.0,1 year, RENT,Verified,2000.0,36,20.97,credit_card,E,E1,569.0,7,14.0,18061.19,65.7,0,1.0,0,0,971.4,Charged Off
APP200010,03/12/2024,52,16300.0,1 year,MORTGAGE,Source Verified,12400.0,60,20.67,car,E,E5,697.0,10,15.0,1970.98,85.7,2,70.0,1,0,0.0,Fully Paid
APP200011,05/13/2024,39,33400.0,5 years,RENT,Source Verified,26500.0,60,12.18,medical,B,B2,705.0,11,15.0,5379.8,18.2,1,,1,0,0.0,Fully Paid
APP200012,2022-11-21,42,,5 years, MORTGAGE,Not Verified,20100.0,36,13.31,moving,C,C3,674.0,6,10.0,5711.72,,0,,3,0,1239.79,Fully Paid
APP200013,2024-05-19,43,31000.0,6 years,MORTGAGE,Not Verified,18300.0,36,16.61,debt_consolidation,C,C3,678.0,6,11.0,5434.72,17.0,2,67.0,1,0,459.71,Fully Paid
APP200014,2021-03-07,36,49900.0,1 year,Mortgage,Not Verified,12900.0,60,5.3,debt_consolidation,A,A1,675.0,9,12.0,2144.12,73.8,0,,0,0,1536.11,Fully Paid
APP200015,2024-06-21,23,47000.0,10+ years,MORTGAGE,Verified,21000.0,60,16.41,home_improvement,C,C4,741.0,7,10.0,424.47,N/A,2,4.0,1,0,1304.56,Fully Paid
APP200016,2024-02-16,21,50200.0,7 years,Rent,Source Verified,10000.0,36,15.85,debt_consolidation,C,C5,701.0,8,12.0,17582.54,60.4,0,,1,0,995.05,Current
