bureau_id,app_id,account_type,account_age_months,credit_limit,current_balance,months_past_due,account_status
BUR000000,APP200000,Auto Loan,123,1325.89,671.94,0,Active
BUR000001,APP200000,Personal Loan,83,3182.05,1656.03,0,Active
BUR000002,APP200000,Personal Loan,114,13158.93,8163.42,0,Active
BUR000003,APP200000,Student Loan,153,2656.55,592.55,0,Active
BUR000004,APP200001,Auto Loan,106,6462.39,3024.13,0,Active
BUR000005,APP200001,Mortgage,87,11182.07,8472.63,0,Active
BUR000006,APP200002,Student Loan,3,3504.19,2979.89,0,Active
BUR000007,APP200002,Mortgage,36,13886.24,8202.01,1,Active
BUR000008,APP200002,Mortgage,24,10262.63,7978.16,0,Active
BUR000009,APP200002,Mortgage,151,1917.82,462.1,0,Active
BUR000010,APP200003,Auto Loan,2,12559.11,2239.76,0,Active
BUR000011,APP200003,Mortgage,144,18074.94,5782.13,0,Active
BUR000012,APP200004,Personal Loan,25,920.13,95.46,0,Active
BUR000013,APP200004,Student Loan,131,7594.86,4774.3,0,Closed
BUR000014,APP200004,Mortgage,16,19207.84,10170.6,0,Active
BUR000015,APP200004,Student Loan,26,8764.11,4359.14,0,Closed
BUR000016,APP200004,Mortgage,86,20997.45,15940.0,0,Active
BUR000017,APP200004,Personal Loan,3,2731.02,1532.46,0,Active
BUR000018,APP200005,Auto Loan,170,3230.76,548.79,0,Active
BUR000019,APP200005,Retail Card,73,2074.28,1535.47,0,Active
BUR000020,APP200005,Mortgage,114,9380.59,6309.83,0,Active
BUR000021,APP200005,Mortgage,85,614.87,173.2,0,Active
BUR000022,APP200006,Personal Loan,81,5206.65,3335.76,0,Closed
BUR000023,APP200006,Auto Loan,163,381.29,66.2,0,Closed
BUR000024,APP200006,Auto Loan,44,26823.45,13834.03,0,Active
BUR000025,APP200006,Retail Card,97,4694.41,2119.75,0,Active
BUR000026,APP200006,Auto Loan,106,15573.23,3667.45,0,Active
BUR000027,APP200006,Personal Loan,113,3504.55,2173.21,0,Active
BUR000028,APP200007,Student Loan,163,1849.24,550.01,0,Active
BUR000029,APP200007,Auto Loan,126,19174.95,1990.13,0,Active
BUR000030,APP200008,Student Loan,171,3895.45,934.6,0,Active
BUR000031,APP200008,Student Loan,140,12640.01,9424.66,0,Closed
BUR000032,APP200008,Personal Loan,177,3208.68,2577.9,0,Active
BUR000033,APP200008,Mortgage,81,784.25,298.16,1,Closed
BUR000034,APP200008,Credit Card,91,5603.6,875.88,0,Active
BUR000035,APP200009,Credit Card,139,8650.28,6462.77,0,Active
BUR000036,APP200009,Credit Card,104,2796.99,1418.35,0,Closed
BUR000037,APP200009,Personal Loan,81,840.41,437.94,0,Active
BUR000038,APP200009,Personal Loan,151,18692.15,3234.37,0,Active
BUR000039,APP200009,Auto Loan,129,12831.51,7305.2,0,Closed
BUR000040,APP200009,Student Loan,139,5121.72,3516.84,0,Active
BUR000041,APP200010,Auto Loan,46,5016.55,1847.88,6,Closed
BUR000042,APP200010,Student Loan,74,5069.43,3415.88,0,Closed
BUR000043,APP200010,Credit Card,15,1776.59,1360.89,0,Active
BUR000044,APP200011,Retail Card,101,1251.52,406.66,0,Active
BUR000045,APP200011,Credit Card,96,11280.22,5169.08,0,Closed
BUR000046,APP200011,Mortgage,78,4206.87,2751.25,0,Active
BUR000047,APP200011,Credit Card,118,6923.65,2842.78,0,Active
BUR000048,APP200012,Mortgage,97,16762.08,8089.62,0,Active
BUR000049,APP200013,Auto Loan,90,10393.73,3066.66,0,Active
BUR000050,APP200013,Auto Loan,57,6986.22,3212.38,0,Active
BUR000051,APP200013,Student Loan,148,8963.18,5640.03,1,Active
BUR000052,APP200014,Student Loan,170,14287.16,1117.1,0,Closed
BUR000053,APP200014,Auto Loan,167,3402.86,1404.83,0,Active
BUR000054,APP200015,Auto Loan,72,7568.52,1808.71,5,Active
BUR000055,APP200015,Mortgage,52,1432.28,692.48,0,Closed
BUR000056,APP200017,Credit Card,105,3982.46,1273.89,0,Active
BUR000057,APP200017,Personal Loan,86,912.61,263.88,2,Active
BUR000058,APP200017,Student Loan,22,893.07,713.11,0,Active
BUR000059,APP200017,Retail Card,80,977.2,127.24,4,Active
BUR000060,APP200018,Mortgage,41,6928.31,4447.17,0,Active
BUR000061,APP200018,Auto Loan,117,31662.57,15100.53,2,Closed
BUR000062,APP200018,Auto Loan,106,4615.09,4587.48,0,Active
BUR000063,APP200018,Mortgage,175,23427.84,14835.84,0,Active
BUR000064,APP200019,Personal Loan,44,24104.48,15904.62,0,Closed
BUR000065,APP200019,Retail Card,42,1829.6,41.84,0,Active
BUR000066,APP200020,Credit Card,77,26632.99,10030.07,0,Closed
BUR000067,APP200020,Retail Card,1,8842.95,242.61,0,Closed
BUR000068,APP200020,Credit Card,71,8969.05,691.36,0,Active
BUR000069,APP200021,Retail Card,76,2861.38,803.2,0,Active
BUR000070,APP200021,Credit Card,143,9915.96,6456.35,5,Active
BUR000071,APP200021,Retail Card,165,16386.89,4803.29,1,Active
BUR000072,APP200021,Auto Loan,108,6605.14,3226.71,0,Active
BUR000073,APP200021,Mortgage,168,284.42,52.92,0,Active
BUR000074,APP200021,Retail Card,147,250.6,121.72,0,Active
BUR000075,APP200021,Student Loan,40,8557.12,1955.8,0,Closed
BUR000076,APP200021,Retail Card,61,12171.83,5042.18,0,Active
BUR000077,APP200022,Personal Loan,166,4854.09,2126.01,0,Closed
BUR000078,APP200022,Credit Card,179,8574.78,7510.67,0,Active
BUR000079,APP200022,Auto Loan,97,14356.41,6433.72,0,Closed
BUR000080,APP200022,Mortgage,74,3577.35,463.99,0,Closed
BUR000081,APP200023,Student Loan,175,3364.97,1243.26,0,Closed
BUR000082,APP200023,Auto Loan,4,1407.12,397.87,0,Active
BUR000083,APP200023,Student Loan,23,3039.54,1566.07,0,Active
BUR000084,APP200023,Credit Card,36,11532.89,438.7,0,Closed
BUR000085,APP200024,Retail Card,131,11227.56,4793.17,1,Closed
BUR000086,APP200024,Personal Loan,111,12290.34,10778.51,0,Active
BUR000087,APP200025,Credit Card,141,13168.36,5991.25,0,Active
BUR000088,APP200025,Auto Loan,167,4387.84,1128.99,4,Active
BUR000089,APP200025,Credit Card,19,2655.18,337.76,0,Active
BUR000090,APP200026,Credit Card,93,5957.99,2341.64,0,Closed
BUR000091,APP200026,Student Loan,20,3044.8,1420.27,0,Active
BUR000092,APP200026,Student Loan,61,3814.47,2743.04,6,Active
BUR000093,APP200026,Student Loan,143,3543.51,1480.31,0,Active
BUR000094,APP200026,Personal Loan,128,7955.99,1052.24,0,Active
BUR000095,APP200026,Retail Card,24,4990.55,2506.76,0,Active
BUR000096,APP200026,Credit Card,153,1386.31,702.77,0,Active
BUR000097,APP200027,Student Loan,21,9635.13,3921.36,0,Closed
BUR000098,APP200027,Personal Loan,161,979.59,415.2,0,Active
BUR000099,APP200027,Mortgage,17,18331.35,2039.31,0,Active
BUR000100,APP200028,Personal Loan,110,8168.27,6671.49,0,Active
BUR000101,APP200028,Student Loan,170,4769.76,1904.62,0,Active
BUR000102,APP200028,Auto Loan,108,25641.87,904.1,0,Active
BUR000103,APP200029,Auto Loan,86,19220.25,10959.67,0,Active
BUR000104,APP200029,Auto Loan,83,3158.28,3158.61,1,Closed
BUR000105,APP200030,Auto Loan,172,7560.32,4231.77,0,Closed
BUR000106,APP200030,Retail Card,97,15107.73,3226.25,0,Active
BUR000107,APP200030,Personal Loan,129,2613.47,569.04,0,Active
BUR000108,APP200030,Student Loan,95,18193.56,2954.72,0,Active
BUR000109,APP200030,Mortgage,107,6446.5,5082.93,0,Active
BUR000110,APP200030,Auto Loan,10,1939.77,1414.41,0,Closed
BUR000111,APP200031,Credit Card,172,6649.95,3213.32,0,Active
BUR000112,APP200031,Personal Loan,61,2929.21,1027.48,0,Active
BUR000113,APP200031,Personal Loan,98,4910.91,2418.21,0,Active
BUR000114,APP200032,Mortgage,6,6138.89,4200.32,2,Active
BUR000115,APP200032,Retail Card,56,3462.6,102.95,2,Active
BUR000116,APP200032,Student Loan,172,2206.04,1321.82,0,Active
BUR000117,APP200032,Retail Card,44,200.0,139.12,0,Active
BUR000118,APP200032,Personal Loan,38,8166.46,1919.3,1,Active
BUR000119,APP200032,Auto Loan,61,6274.77,1701.89,0,Active
BUR000120,APP200033,Personal Loan,64,6210.36,6285.34,0,Active
BUR000121,APP200033,Auto Loan,95,200.0,37.63,0,Closed
BUR000122,APP200033,Student Loan,46,14806.74,7298.18,0,Active
BUR000123,APP200033,Retail Card,7,14099.29,6479.9,0,Closed
BUR000124,APP200033,Mortgage,55,816.56,406.29,0,Active
BUR000125,APP200034,Personal Loan,81,1276.08,69.9,0,Closed
BUR000126,APP200034,Personal Loan,36,13796.98,11161.88,0,Active
BUR000127,APP200034,Student Loan,20,584.04,402.87,0,Active
BUR000128,APP200034,Student Loan,44,9376.19,567.47,0,Active
BUR000129,APP200034,Auto Loan,64,11304.13,3005.39,0,Active
BUR000130,APP200034,Personal Loan,136,1114.63,512.26,0,Active
BUR000131,APP200035,Credit Card,71,631.0,149.24,0,Active
BUR000132,APP200035,Student Loan,87,3333.44,1705.21,0,Closed
BUR000133,APP200035,Mortgage,93,10735.3,4280.64,0,Active
BUR000134,APP200035,Personal Loan,140,200.0,122.46,0,Active
BUR000135,APP200035,Student Loan,86,8569.19,740.13,0,Active
BUR000136,APP200036,Retail Card,109,1894.41,598.74,0,Active
BUR000137,APP200037,Auto Loan,57,5952.64,3447.05,0,Active
BUR000138,APP200037,Personal Loan,155,5483.81,2357.1,0,Closed
BUR000139,APP200037,Mortgage,30,10339.19,5627.84,0,Closed
BUR000140,APP200037,Student Loan,96,6966.37,5492.97,0,Active
BUR000141,APP200037,Student Loan,139,1781.52,1515.42,0,Closed
BUR000142,APP200037,Auto Loan,84,2499.01,1480.24,7,Active
BUR000143,APP200037,Student Loan,9,926.04,445.64,0,Active
BUR000144,APP200038,Credit Card,108,12470.79,10077.73,0,Active
BUR000145,APP200038,Mortgage,56,11244.13,1738.8,0,Closed
BUR000146,APP200038,Credit Card,34,1285.38,359.12,7,Closed
BUR000147,APP200038,Retail Card,23,3020.63,921.94,0,Closed
BUR000148,APP200039,Auto Loan,117,5097.35,1535.24,0,Closed
BUR000149,APP200039,Mortgage,171,7490.1,3732.4,2,Closed
BUR000150,APP200039,Auto Loan,158,7741.26,3755.7,0,Active
BUR000151,APP200039,Personal Loan,170,879.24,283.28,0,Closed
BUR000152,APP200040,Auto Loan,166,523.23,291.7,0,Active
BUR000153,APP200040,Credit Card,79,1634.5,499.63,0,Active
BUR000154,APP200041,Auto Loan,67,60000.0,33218.82,0,Active
BUR000155,APP200041,Mortgage,95,8476.64,4438.12,0,Active
BUR000156,APP200041,Mortgage,173,28906.61,15186.7,7,Closed
BUR000157,APP200042,Personal Loan,107,2504.99,1117.71,0,Active
BUR000158,APP200043,Credit Card,177,15147.11,9002.06,0,Active
BUR000159,APP200043,Personal Loan,94,8388.37,6228.61,0,Closed
BUR000160,APP200043,Mortgage,150,982.94,607.94,0,Active
BUR000161,APP200043,Personal Loan,41,6562.55,3340.12,1,Active
BUR000162,APP200043,Auto Loan,117,3689.33,3681.59,0,Active
BUR000163,APP200043,Mortgage,27,1364.84,593.93,0,Active
BUR000164,APP200044,Auto Loan,64,4413.65,866.74,0,Active
BUR000165,APP200044,Credit Card,62,17609.92,10910.98,8,Active
BUR000166,APP200044,Retail Card,75,10474.4,4951.37,0,Active
BUR000167,APP200044,Retail Card,6,11569.37,2815.26,0,Closed
BUR000168,APP200044,Mortgage,154,4670.79,584.89,0,Closed
BUR000169,APP200044,Student Loan,75,15989.12,4122.27,0,Closed
BUR000170,APP200045,Student Loan,122,12592.92,11074.61,0,Active
BUR000171,APP200045,Student Loan,98,4909.63,862.68,0,Active
BUR000172,APP200045,Student Loan,172,1416.18,714.82,0,Active
BUR000173,APP200045,Retail Card,37,20832.45,9416.13,0,Active
