risk_tier,loan_count,observed_default_rate,avg_predicted_pd,expected_loss_per_loan,tier_total_expected_loss
1,422,0.014218009478672985,0.033395818642124854,225.42177583434278,95127.98940209266
2,422,0.04265402843601896,0.0422053141161341,284.8858702839052,120221.837259808
3,422,0.04739336492890995,0.05043396962862212,340.42929499319933,143661.16248713012
4,421,0.06413301662707839,0.06295452818313839,424.9430652361841,178901.0304644335
5,422,0.06398104265402843,0.07915144037128102,534.2722225061469,225462.877897594
6,422,0.08767772511848342,0.09602062409350472,648.1392126311569,273514.7477303482
7,421,0.1187648456057007,0.11439213977185939,772.1469434600509,325073.8631966814
8,422,0.13507109004739337,0.13909717705059,938.9059450914824,396218.3088286056
9,422,0.22511848341232227,0.18681748186911049,1261.0180026164958,532149.5971041612
10,422,0.3412322274881517,0.32558169454691993,2197.6764381917096,927419.4569169015
